phone_brand,brand_eng
三星,samsung
天语,Ktouch
海信,hisense
联想,lenovo
欧比,obi
爱派尔,ipair
努比亚,nubia
优米,youmi
朵唯,dowe
黑米,heymi
锤子,hammer
酷比魔方,koobee
美图,meitu
尼比鲁,nibilu
一加,oneplus
优购,yougo
诺基亚,nokia
糖葫芦,candy
中国移动,ccmc
语信,yuxin
基伍,kiwu
青橙,greeno
华硕,asus
夏新,panosonic
维图,weitu
艾优尼,aiyouni
摩托罗拉,moto
乡米,xiangmi
米奇,micky
大可乐,bigcola
沃普丰,wpf
神舟,hasse
摩乐,mole
飞秒,fs
米歌,mige
富可视,fks
德赛,desci
梦米,mengmi
乐视,lshi
小杨树,smallt
纽曼,newman
邦华,banghua
E派,epai
易派,epai
普耐尔,pner
欧新,ouxin
西米,ximi
海尔,haier
波导,bodao
糯米,nuomi
唯米,weimi
酷珀,kupo
谷歌,google
昂达,ada
聆韵,lingyun
MIL,MIL
Lovme,Lovme
ZUK,ZUK
LG,LG
TCL,TCL
OPPO,OPPO
PPTV,PPTV
SUGAR,SUGAR
LOGO,LOGO
ZOYE,ZOYE
HTC,HTC
vivo,vivo
台电,Teclast
贝尔丰,Bifer
长虹,Changhong
世纪天元,Ctyon
康佳,Konka
酷比,CUBE
欧博信,Opssom
索尼,Sony
中兴,ZTE
奥克斯,AUX
斐讯,Phicomm
诺亚信,Noain
欧奇,Oukimobile
至尊宝,Monkey King
果米,Taobao
大Q,Daq
金星数码,JXD
百立丰,Hundred Li Feng
先锋,XFPLAY
金立,Gionee
奇酷,Qiku
蓝魔,Ramos
酷派,Coolpad
魅族,Meizu
百加,Bacardi
青葱,Cong
亿通,Yitong
小米,Xiaomi
广信,Kingsun
华为,Huawei
天宏时代,skyhon
大显,TOUCH MOBILE
世纪星,tetc
恒宇丰,heyf
鲜米,missing_brand_1
赛博宇华,missing_brand_2
唯比,missing_brand_3
戴尔,missing_brand_4
白米,missing_brand_5
原点,missing_brand_6
智镁,missing_brand_7
西门子,missing_brand_8
丰米,missing_brand_9
帷幄,missing_brand_10
欧乐迪,missing_brand_11
宝捷讯,missing_brand_12
飞利浦,missing_brand_13
极米,missing_brand_14
碟米,missing_brand_15
亚马逊,missing_brand_16
优语,missing_brand_17
凯利通,missing_brand_18
首云,missing_brand_19
嘉源,missing_brand_20
惠普,missing_brand_21
欧沃,missing_brand_22
本为,missing_brand_23
瑞米,missing_brand_24
欧乐酷,missing_brand_25
虾米,missing_brand_26
德卡诺,missing_brand_27
瑞高,missing_brand_28
E人E本,missing_brand_29
宏碁,missing_brand_30

